case,group,routes_file,routing_only,num_planes,sats_per_plane,orbital_slots,num_sats,src,dst,samples,duration_s,availability_pct,no_route_pct,mean_rtt_ms,median_rtt_ms,p95_rtt_ms,min_rtt_ms,max_rtt_ms,mean_one_way_ms,mean_link_hops,mean_isl_hops,mean_ground_hops,mean_active_uplinks_src,mean_active_uplinks_dst,mean_nearest_src_km,mean_nearest_dst_km,mean_dijkstra_cpu_ms,p95_dijkstra_cpu_ms,route_changes,route_changes_per_min,mean_route_segment_duration_s
A_sanity_2sat_adjacent,A sanity,/Users/lukasz/Documents/Repositories/starlink-htsim/build/results/A_sanity_2sat_adjacent.routes.csv,True,1,2,66,2,"0,0","0,5",601,600.0,12.645590682196339,87.35440931780366,10.46224864473684,10.306580499999999,12.27517725,8.998217,12.525103,5.231124302631579,2.0,0.0,2.0,0.3178036605657238,0.1264559068219634,2196.3245637420964,2541.93372165391,0.03702821963394343,0.083584,2,0.2,75.0
B_1plane_16sat_adjacent,B small scale,/Users/lukasz/Documents/Repositories/starlink-htsim/build/results/B_1plane_16sat_adjacent.routes.csv,True,1,16,66,16,"0,0","0,10",601,600.0,0.0,100.0,,,,,,,,,,0.3178036605657238,0.0,2196.3245637420964,2966.377994074875,0.178861690515807,0.189,1,0.1,
B_1plane_4sat_adjacent,B small scale,/Users/lukasz/Documents/Repositories/starlink-htsim/build/results/B_1plane_4sat_adjacent.routes.csv,True,1,4,66,4,"0,0","0,10",601,600.0,0.0,100.0,,,,,,,,,,0.3178036605657238,0.0,2196.3245637420964,2966.377994074875,0.06517389184692181,0.116291,1,0.1,
B_1plane_8sat_adjacent,B small scale,/Users/lukasz/Documents/Repositories/starlink-htsim/build/results/B_1plane_8sat_adjacent.routes.csv,True,1,8,66,8,"0,0","0,10",601,600.0,0.0,100.0,,,,,,,,,,0.3178036605657238,0.0,2196.3245637420964,2966.377994074875,0.10500230449251248,0.117167,1,0.1,
B_2planes_16sat,B small scale,/Users/lukasz/Documents/Repositories/starlink-htsim/build/results/B_2planes_16sat.routes.csv,True,2,16,66,32,"0,0","20,20",601,600.0,0.0,100.0,,,,,,,,,,0.3178036605657238,0.3793677204658902,2126.324269845258,1997.3959983344428,0.40743711980033276,0.437167,1,0.1,
B_4planes_16sat,B small scale,/Users/lukasz/Documents/Repositories/starlink-htsim/build/results/B_4planes_16sat.routes.csv,True,4,16,66,64,"0,0","30,30",601,600.0,0.0,100.0,,,,,,,,,,0.3178036605657238,1.4775374376039934,2126.324269845258,1064.9004303993345,0.9054352362728785,0.948708,1,0.1,
C_NY_Seattle_12planes,C NY-Seattle,/Users/lukasz/Documents/Repositories/starlink-htsim/build/results/C_NY_Seattle_12planes.routes.csv,True,12,66,66,792,"40.76,-73.98","47.61,-122.33",14401,14400.0,100.0,0.0,31.916162913478228,31.598638,33.587146,30.922289,35.154656,15.958081454898966,3.9279216721061037,1.9279216721061037,2.0,6.257898757030762,9.961877647385599,645.2391307065482,610.3526957051595,12.04385636601625,13.144625,387,1.6125,36.21188630490956
C_NY_Seattle_24planes,C NY-Seattle,/Users/lukasz/Documents/Repositories/starlink-htsim/build/results/C_NY_Seattle_24planes.routes.csv,True,24,66,66,1584,"40.76,-73.98","47.61,-122.33",14401,14400.0,100.0,0.0,30.922509080966595,30.896662,31.275155,29.750516,31.855676,15.461254542670646,5.519825012151934,3.519825012151934,2.0,12.517255746128741,19.925491285327407,588.7101411121449,574.7849320822165,23.891009953614333,26.188084,703,2.9291666666666667,19.4850640113798
C_NY_Seattle_6planes,C NY-Seattle,/Users/lukasz/Documents/Repositories/starlink-htsim/build/results/C_NY_Seattle_6planes.routes.csv,True,6,66,66,396,"40.76,-73.98","47.61,-122.33",14401,14400.0,100.0,0.0,42.78325975251718,34.686473,60.424114,30.922289,63.319709,21.39162987348101,7.0377751545031595,5.0377751545031595,2.0,3.130199291715853,4.980695785014929,734.2818001289494,713.9740305435733,6.200051985001042,6.704666,327,1.3625,43.039755351681954
D_London_NY_12planes_ping,D London-NY ping,/Users/lukasz/Documents/Repositories/starlink-htsim/build/results/D_London_NY_12planes_ping.routes.csv,False,12,66,66,792,"51.5,0","40.76,-73.98",600,599.0,100.0,0.0,42.69497391333333,42.8510145,43.3267175,41.986781,43.553066,21.34748696666667,7.358333333333333,5.358333333333333,2.0,9.015,6.0183333333333335,593.7268828516667,608.9499440183333,12.54853543,14.07671105,21,2.1035058430717863,27.571428571428573
D_London_NY_24planes_ping,D London-NY ping,/Users/lukasz/Documents/Repositories/starlink-htsim/build/results/D_London_NY_24planes_ping.routes.csv,False,24,66,66,1584,"51.5,0","40.76,-73.98",600,599.0,100.0,0.0,42.72360734666667,42.8510145,43.2930553,41.910585,43.533752,21.361803675,8.688333333333333,6.6883333333333335,2.0,18.761666666666667,13.73,561.1296011116668,608.9499440183333,24.599117701666668,28.556608299999983,30,3.0050083472454094,19.0
D_London_NY_6planes_ping,D London-NY ping,/Users/lukasz/Documents/Repositories/starlink-htsim/build/results/D_London_NY_6planes_ping.routes.csv,False,6,66,66,396,"51.5,0","40.76,-73.98",600,599.0,100.0,0.0,43.13395261,42.947121,44.5226319,42.742487,44.705109,21.56697632166667,9.131666666666666,7.131666666666667,2.0,5.96,3.02,620.425885495,619.6888738083333,5.7166180650000005,6.7591372000000005,14,1.4023372287145244,41.857142857142854
E_NY_Seattle_24planes_isl1000,E ISL sensitivity,/Users/lukasz/Documents/Repositories/starlink-htsim/build/results/E_NY_Seattle_24planes_isl1000.routes.csv,False,24,66,66,1584,"40.76,-73.98","47.61,-122.33",600,599.0,100.0,0.0,31.113498845000002,31.071379999999998,31.748351800000002,30.696767,31.853382,15.556749411666667,5.371666666666667,3.3716666666666666,2.0,13.73,19.721666666666668,608.9499440183333,575.5291497899999,24.751467844999997,27.32400655,37,3.7061769616026714,15.216216216216216
E_NY_Seattle_24planes_isl10000,E ISL sensitivity,/Users/lukasz/Documents/Repositories/starlink-htsim/build/results/E_NY_Seattle_24planes_isl10000.routes.csv,False,24,66,66,1584,"40.76,-73.98","47.61,-122.33",600,599.0,100.0,0.0,31.113498845000002,31.071379999999998,31.748351800000002,30.696767,31.853382,15.556749411666667,5.371666666666667,3.3716666666666666,2.0,13.73,19.721666666666668,608.9499440183333,575.5291497899999,24.36636703833333,26.832210749999998,37,3.7061769616026714,15.216216216216216
E_NY_Seattle_24planes_isl5000,E ISL sensitivity,/Users/lukasz/Documents/Repositories/starlink-htsim/build/results/E_NY_Seattle_24planes_isl5000.routes.csv,False,24,66,66,1584,"40.76,-73.98","47.61,-122.33",600,599.0,100.0,0.0,31.113498845000002,31.071379999999998,31.748351800000002,30.696767,31.853382,15.556749411666667,5.371666666666667,3.3716666666666666,2.0,13.73,19.721666666666668,608.9499440183333,575.5291497899999,23.933951733333334,26.14450385,37,3.7061769616026714,15.216216216216216
